Timestamp [h],BATT_002_OCV_V_50-SOC,BATT_002_OCV_V_60-SOC,BATT_002_OCV_V_100-SOC
0,3.397,3.409,3.634
0.0166666666666667,3.325,3.336,3.603001
0.0333333333333333,3.32,3.329,3.583017
0.05,3.317,3.325,3.567
0.0666666666666667,3.316,3.322,3.554
0.0833333333333333,3.315,3.32,3.543
0.1,3.314,3.319,3.53308
0.116666666666667,3.313,3.318,3.525
0.133333333333333,3.312,3.317,3.518
0.15,3.312,3.317,3.511
0.166666666666667,3.312,3.316,3.505
0.183333333333333,3.311,3.316,3.499863
0.2,3.311,3.315,3.494
0.216666666666667,3.31,3.315,3.49
0.233333333333333,3.31,3.314,3.486
0.25,3.31,3.314,3.482
0.266666666666667,3.31,3.314,3.478
0.283333333333333,3.309,3.314,3.475
0.3,3.309,3.313,3.471248
0.316666666666667,3.309,3.313,3.469
0.333333333333333,3.309,3.313,3.466
0.35,3.309,3.312,3.463
0.366666666666667,3.308,3.312,3.461
0.383333333333333,3.309,3.312,3.458
0.4,3.308,3.312,3.456
0.416666666666667,3.308,3.312,3.454
0.433333333333333,3.308,3.312,3.452
0.45,3.308,3.311,3.45
0.466666666666667,3.308,3.311,3.448
0.483333333333333,3.308,3.311,3.446592
0.5,3.308,3.311,3.445
0.516666666666667,3.307,3.311,3.443
0.533333333333333,3.307,3.311,3.441452
0.55,3.307,3.311,3.44
0.566666666666667,3.307,3.311,3.438484
0.583333333333333,3.307,3.311,3.437
0.6,3.307,3.311,3.436
0.616666666666667,3.307,3.31,3.434472
0.633333333333333,3.307,3.31,3.433539
0.65,3.307,3.31,3.432553
0.666666666666667,3.306,3.31,3.431
0.683333333333333,3.306,3.31,3.43
0.7,3.306,3.31,3.429
0.716666666666667,3.306,3.31,3.428
0.733333333333333,3.306,3.31,3.427
0.75,3.306,3.31,3.426
0.766666666666667,3.306,3.309,3.425
0.783333333333333,3.306,3.309,3.424
0.8,3.306,3.31,3.423
0.816666666666667,3.306,3.309,3.422
0.833333333333333,3.306,3.309,3.421702
0.85,3.306,3.309,3.420289
0.866666666666667,3.306,3.309,3.419
0.883333333333333,3.306,3.309,3.419
0.9,3.306,3.309,3.418
0.916666666666667,3.306,3.309,3.417767
0.933333333333333,3.306,3.309,3.417
0.95,3.305,3.309,3.416
0.966666666666667,3.306,3.309,3.415
0.983333333333333,3.306,3.309,3.414822
1,3.305,3.309,3.414
1.01666666666667,3.306,3.309,3.413
1.03333333333333,3.305,3.309,3.413
1.05,3.305,3.309,3.412
1.06666666666667,3.305,3.309,3.411
1.08333333333333,3.305,3.308,3.411
1.1,3.305,3.308,3.41
1.11666666666667,3.305,3.308,3.409061
1.13333333333333,3.305,3.308,3.40905
1.15,3.305,3.308,3.408037
1.16666666666667,3.305,3.309,3.408
1.18333333333333,3.305,3.308,3.407011
1.2,3.305,3.308,3.407
1.21666666666667,3.305,3.308,3.407
1.23333333333333,3.305,3.308,3.406
1.25,3.305,3.308,3.405954
1.26666666666667,3.305,3.308,3.405
1.28333333333333,3.305,3.308,3.405
1.3,3.305,3.308,3.404
1.31666666666667,3.305,3.308,3.404
1.33333333333333,3.305,3.308,3.403
1.35,3.305,3.308,3.403
1.36666666666667,3.305,3.308,3.403
1.38333333333333,3.305,3.308,3.402
1.4,3.305,3.308,3.401181
1.41666666666667,3.305,3.308,3.401
1.43333333333333,3.305,3.308,3.401
1.45,3.305,3.308,3.400775
1.46666666666667,3.304,3.308,3.4
1.48333333333333,3.305,3.308,3.4
1.5,3.304,3.308,3.399
1.51666666666667,3.305,3.308,3.399
1.53333333333333,3.304,3.308,3.398717
1.55,3.304,3.308,3.398
1.56666666666667,3.304,3.308,3.398
1.58333333333333,3.304,3.308,3.398
1.6,3.305,3.308,3.397342
1.61666666666667,3.304,3.308,3.397
1.63333333333333,3.304,3.308,3.397
1.65,3.304,3.308,3.396622
1.66666666666667,3.304,3.307,3.396
1.68333333333333,3.304,3.307,3.396
1.7,3.304,3.307,3.395
1.71666666666667,3.304,3.307,3.395569
1.73333333333333,3.304,3.308,3.395
1.75,3.304,3.307,3.394541
1.76666666666667,3.304,3.307,3.394
1.78333333333333,3.304,3.307,3.394
1.8,3.304,3.307,3.393518
1.81666666666667,3.304,3.307,3.393466
1.83333333333333,3.304,3.307,3.393
1.85,3.304,3.307,3.393
1.86666666666667,3.304,3.307,3.393
1.88333333333333,3.304,3.307,3.392
1.9,3.304,3.307,3.392
1.91666666666667,3.304,3.307,3.392
1.93333333333333,3.304,3.307,3.392
1.95,3.304,3.307,3.391
1.96666666666667,3.304,3.307,3.391
1.98333333333333,3.304,3.307,3.391
2,3.304,3.307,3.391
2.01666666666667,3.304,3.307,3.390272
2.03333333333333,3.304,3.307,3.39
2.05,3.304,3.307,3.39
2.06666666666667,3.304,3.307,3.39
2.08333333333333,3.304,3.307,3.39
2.1,3.304,3.307,3.389789
2.11666666666667,3.304,3.307,3.389
2.13333333333333,3.304,3.307,3.389
2.15,3.304,3.307,3.389
2.16666666666667,3.304,3.307,3.388
2.18333333333333,3.304,3.307,3.388
2.2,3.304,3.307,3.388
2.21666666666667,3.304,3.307,3.388
2.23333333333333,3.304,3.307,3.388
2.25,3.304,3.307,3.388
2.26666666666667,3.304,3.307,3.388
2.28333333333333,3.304,3.307,3.387
2.3,3.304,3.307,3.387
2.31666666666667,3.304,3.307,3.387
2.33333333333333,3.304,3.307,3.386013
2.35,3.304,3.307,3.386975
2.36666666666667,3.304,3.307,3.386
2.38333333333333,3.304,3.307,3.386
2.4,3.304,3.306,3.386
2.41666666666667,3.304,3.307,3.386
2.43333333333333,3.304,3.307,3.385898
2.45,3.304,3.307,3.385885
