Timestamp [h],BATT_007_OCV_V_00-SOC
0,0.902
0.0166666666666667,0.956
0.0333333333333333,0.972
0.05,0.984
0.0666666666666667,0.995
0.0833333333333333,1.005
0.1,1.013
0.116666666666667,1.021
0.133333333333333,1.028
0.15,1.034
0.166666666666667,1.039
0.183333333333333,1.044
0.2,1.048
0.216666666666667,1.052
0.233333333333333,1.056
0.25,1.059
0.266666666666667,1.062
0.283333333333333,1.065
0.3,1.068
0.316666666666667,1.07
0.333333333333333,1.07271
0.35,1.075
0.366666666666667,1.077
0.383333333333333,1.079
0.4,1.081
0.416666666666667,1.083
0.433333333333333,1.085
0.45,1.086
0.466666666666667,1.088
0.483333333333333,1.09
0.5,1.091
0.516666666666667,1.092446
0.533333333333333,1.094
0.55,1.095
0.566666666666667,1.096504
0.583333333333333,1.098
0.6,1.099
0.616666666666667,1.1
0.633333333333333,1.101434
0.65,1.102
0.666666666666667,1.103
0.683333333333333,1.104
0.7,1.105
0.716666666666667,1.106636
0.733333333333333,1.107
0.75,1.108
0.766666666666667,1.109
0.783333333333333,1.11
0.8,1.111
0.816666666666667,1.112
0.833333333333333,1.112
0.85,1.113
0.866666666666667,1.114
0.883333333333333,1.114806
0.9,1.115
0.916666666666667,1.116
0.933333333333333,1.11686
0.95,1.117
0.966666666666667,1.117889
0.983333333333333,1.118
1,1.119
1.01666666666667,1.119059
1.03333333333333,1.12
1.05,1.121
1.06666666666667,1.121
1.08333333333333,1.121994
1.1,1.122
1.11666666666667,1.123
1.13333333333333,1.123
1.15,1.124
1.16666666666667,1.124
1.18333333333333,1.124888
1.2,1.125
1.21666666666667,1.125132
1.23333333333333,1.126
1.25,1.126
1.26666666666667,1.127
1.28333333333333,1.127
1.3,1.128
1.31666666666667,1.128
1.33333333333333,1.128237
1.35,1.129
1.36666666666667,1.129
1.38333333333333,1.129284
1.4,1.13
1.41666666666667,1.131
1.43333333333333,1.131
1.45,1.131
1.46666666666667,1.132
1.48333333333333,1.132
1.5,1.133
1.51666666666667,1.133
1.53333333333333,1.133438
1.55,1.134
1.56666666666667,1.134
1.58333333333333,1.135
1.6,1.135
1.61666666666667,1.136
1.63333333333333,1.136
1.65,1.137
1.66666666666667,1.137
1.68333333333333,1.137
1.7,1.137601
1.71666666666667,1.138
1.73333333333333,1.138
1.75,1.139
1.76666666666667,1.139
1.78333333333333,1.139317
1.8,1.14
1.81666666666667,1.14
1.83333333333333,1.14
1.85,1.141
1.86666666666667,1.141
1.88333333333333,1.141778
1.9,1.142
1.91666666666667,1.142
1.93333333333333,1.143
1.95,1.143
1.96666666666667,1.143
1.98333333333333,1.144
2,1.144
2.01666666666667,1.144
2.03333333333333,1.145
2.05,1.145
2.06666666666667,1.145
2.08333333333333,1.146
2.1,1.146
2.11666666666667,1.146
2.13333333333333,1.146028
2.15,1.147
2.16666666666667,1.147
2.18333333333333,1.147067
2.2,1.14792
2.21666666666667,1.148
2.23333333333333,1.148
2.25,1.148134
2.26666666666667,1.149
2.28333333333333,1.149
2.3,1.149817
2.31666666666667,1.15
2.33333333333333,1.15
2.35,1.15
2.36666666666667,1.150756
2.38333333333333,1.151
2.4,1.151
2.41666666666667,1.15129
2.43333333333333,1.152
2.45,1.152
2.46666666666667,1.152
2.48333333333333,1.152
2.5,1.153
2.51666666666667,1.153
2.53333333333333,1.153
2.55,1.153433
2.56666666666667,1.154
2.58333333333333,1.154
2.6,1.154
2.61666666666667,1.154
2.63333333333333,1.154485
2.65,1.155
2.66666666666667,1.155
2.68333333333333,1.155
2.7,1.155411
2.71666666666667,1.156
2.73333333333333,1.156
2.75,1.156
2.76666666666667,1.157
2.78333333333333,1.157
2.8,1.157
2.81666666666667,1.157
2.83333333333333,1.157
2.85,1.157745
2.86666666666667,1.158
2.88333333333333,1.158
2.9,1.158
2.91666666666667,1.159
2.93333333333333,1.159
2.95,1.159
2.96666666666667,1.159
2.98333333333333,1.159
3,1.159
3.01666666666667,1.16
3.03333333333333,1.16
3.05,1.16
3.06666666666667,1.16
3.08333333333333,1.160976
3.1,1.161
3.11666666666667,1.161
3.13333333333333,1.161
3.15,1.161
3.16666666666667,1.161
3.18333333333333,1.161915
3.2,1.162
3.21666666666667,1.162
3.23333333333333,1.162
3.25,1.162
3.26666666666667,1.163
3.28333333333333,1.162834
3.3,1.163
3.31666666666667,1.163
3.33333333333333,1.163
3.35,1.163232
3.36666666666667,1.163752
3.38333333333333,1.164
3.4,1.164
3.41666666666667,1.164
3.43333333333333,1.164
3.45,1.164659
3.46666666666667,1.164
3.48333333333333,1.165
3.5,1.165
3.51666666666667,1.165
3.53333333333333,1.165
3.55,1.165
3.56666666666667,1.166
3.58333333333333,1.166
3.6,1.166
3.61666666666667,1.166
3.63333333333333,1.166
3.65,1.166557
3.66666666666667,1.16642
3.68333333333333,1.166
3.7,1.167
3.71666666666667,1.167
3.73333333333333,1.167
3.75,1.167
3.76666666666667,1.167
3.78333333333333,1.167
3.8,1.168
3.81666666666667,1.167272
3.83333333333333,1.168
3.85,1.168
3.86666666666667,1.168
3.88333333333333,1.168
3.9,1.168807
3.91666666666667,1.168
3.93333333333333,1.169
3.95,1.169
3.96666666666667,1.169
3.98333333333333,1.169
4,1.169
4.01666666666667,1.169
4.03333333333333,1.169
4.05,1.17
4.06666666666667,1.169017
4.08333333333333,1.17
4.1,1.17
4.11666666666667,1.17
4.13333333333333,1.17
4.15,1.170929
4.16666666666667,1.17
4.18333333333333,1.171
4.2,1.171
4.21666666666667,1.171
4.23333333333333,1.171
4.25,1.171
4.26666666666667,1.171
4.28333333333333,1.171206
4.3,1.171222
4.31666666666667,1.172
4.33333333333333,1.172
4.35,1.172
4.36666666666667,1.172
4.38333333333333,1.172287
4.4,1.172
4.41666666666667,1.172
4.43333333333333,1.172
4.45,1.173
4.46666666666667,1.172361
4.48333333333333,1.173
4.5,1.173
4.51666666666667,1.173
4.53333333333333,1.173
4.55,1.173
4.56666666666667,1.173
4.58333333333333,1.173
4.6,1.173
4.61666666666667,1.173504
4.63333333333333,1.173489
4.65,1.174
4.66666666666667,1.173539
4.68333333333333,1.173552
4.7,1.174
4.71666666666667,1.174
4.73333333333333,1.174
4.75,1.174
4.76666666666667,1.174646
4.78333333333333,1.174
4.8,1.175
4.81666666666667,1.174305
4.83333333333333,1.175
4.85,1.175
4.86666666666667,1.175
4.88333333333333,1.175
4.9,1.175
4.91666666666667,1.175
4.93333333333333,1.175
4.95,1.175
4.96666666666667,1.176
4.98333333333333,1.176
5,1.176
5.01666666666667,1.176
5.03333333333333,1.176
5.05,1.176
5.06666666666667,1.176
5.08333333333333,1.176
5.1,1.176
5.11666666666667,1.177
5.13333333333333,1.176
5.15,1.17604
5.16666666666667,1.177
5.18333333333333,1.177
5.2,1.177
5.21666666666667,1.177
5.23333333333333,1.177
5.25,1.177
5.26666666666667,1.177
5.28333333333333,1.177
5.3,1.177822
5.31666666666667,1.177808
5.33333333333333,1.178
5.35,1.178
5.36666666666667,1.178
5.38333333333333,1.178
5.4,1.178
5.41666666666667,1.178
5.43333333333333,1.178
5.45,1.178
5.46666666666667,1.178
5.48333333333333,1.178
5.5,1.178
5.51666666666667,1.178
5.53333333333333,1.178399
5.55,1.178
5.56666666666667,1.178
5.58333333333333,1.179
5.6,1.179
5.61666666666667,1.179
5.63333333333333,1.179
5.65,1.179
5.66666666666667,1.179
5.68333333333333,1.179
5.7,1.179
5.71666666666667,1.179
5.73333333333333,1.179
5.75,1.179617
5.76666666666667,1.18
5.78333333333333,1.179355
5.8,1.18
5.81666666666667,1.179323
5.83333333333333,1.18
5.85,1.18
5.86666666666667,1.18
5.88333333333333,1.18
5.9,1.18
5.91666666666667,1.18
5.93333333333333,1.18
5.95,1.18
5.96666666666667,1.181
5.98333333333333,1.180156
6,1.180859
6.01666666666667,1.181
6.03333333333333,1.181
6.05,1.180096
