Timestamp [h],BATT_002_OCV_V_00-SOC,BATT_002_OCV_V_50-SOC,BATT_002_OCV_V_60-SOC
0,2.481,3.244,3.244
0.0166666666666667,2.595,3.276,3.277
0.0333333333333333,2.618,3.279,3.28
0.05,2.634,3.281,3.281
0.0666666666666667,2.647,3.282,3.283
0.0833333333333333,2.657,3.282,3.284
0.1,2.667,3.283,3.284
0.116666666666667,2.675054,3.284,3.284
0.133333333333333,2.683,3.285,3.285
0.15,2.69,3.285,3.285
0.166666666666667,2.696905,3.285,3.286
0.183333333333333,2.702,3.285,3.286
0.2,2.707878,3.286,3.287
0.216666666666667,2.713,3.286,3.287
0.233333333333333,2.718,3.287,3.287
0.25,2.722,3.286,3.287
0.266666666666667,2.726,3.287,3.287
0.283333333333333,2.73,3.287,3.288
0.3,2.734,3.287,3.288
0.316666666666667,2.738,3.288,3.288
0.333333333333333,2.741749,3.287,3.288
0.35,2.745,3.288,3.288
0.366666666666667,2.748,3.288,3.289
0.383333333333333,2.751,3.288,3.289
0.4,2.754,3.288,3.289
0.416666666666667,2.757,3.288,3.289
0.433333333333333,2.76,3.289,3.289
0.45,2.76264,3.288,3.289
0.466666666666667,2.765632,3.289,3.289
0.483333333333333,2.768,3.289,3.289
0.5,2.770389,3.289,3.29
0.516666666666667,2.773,3.289,3.29
0.533333333333333,2.775,3.289,3.29
0.55,2.777432,3.289,3.29
0.566666666666667,2.78,3.289,3.29
0.583333333333333,2.782,3.289,3.29
0.6,2.784,3.289,3.29
0.616666666666667,2.786,3.289,3.29
0.633333333333333,2.788506,3.289,3.29
0.65,2.79,3.289,3.29
0.666666666666667,2.792462,3.289,3.29
0.683333333333333,2.794,3.29,3.29
0.7,2.796,3.29,3.291
0.716666666666667,2.798,3.29,3.29
0.733333333333333,2.8,3.29,3.291
0.75,2.802,3.29,3.291
0.766666666666667,2.803369,3.29,3.291
0.783333333333333,2.805,3.29,3.291
0.8,2.807,3.29,3.291
0.816666666666667,2.809,3.289,3.291
0.833333333333333,2.81,3.29,3.291
0.85,2.812,3.29,3.291
0.866666666666667,2.813,3.29,3.291
0.883333333333333,2.815,3.291,3.291
0.9,2.816,3.291,3.291
0.916666666666667,2.818,3.29,3.291
0.933333333333333,2.819,3.29,3.291
0.95,2.821,3.29,3.291
0.966666666666667,2.82218,3.291,3.291
0.983333333333333,2.823166,3.291,3.291
1,2.825,3.291,3.291
1.01666666666667,2.826861,3.291,3.292
1.03333333333333,2.827121,3.291,3.292
1.05,2.829,3.291,3.291
1.06666666666667,2.83,3.291,3.291
1.08333333333333,2.832,3.29,3.292
1.1,2.833,3.291,3.292
1.11666666666667,2.833949,3.291,3.292
1.13333333333333,2.835,3.291,3.292
1.15,2.837,3.291,3.292
1.16666666666667,2.838,3.291,3.292
1.18333333333333,2.838992,3.291,3.292
1.2,2.84,3.291,3.292
1.21666666666667,2.841,3.291,3.292
1.23333333333333,2.842,3.291,3.292
1.25,2.843,3.291,3.292
1.26666666666667,2.844915,3.291,3.292
