Timestamp [h],BATT_005_OCV_V_00-SOC
0,3.003
0.0166666666666667,3.101112
0.0333333333333333,3.125
0.05,3.142
0.0666666666666667,3.155583
0.0833333333333333,3.167
0.1,3.176552
0.116666666666667,3.185467
0.133333333333333,3.193514
0.15,3.201
0.166666666666667,3.208
0.183333333333333,3.214
0.2,3.22
0.216666666666667,3.225
0.233333333333333,3.23041
0.25,3.235391
0.266666666666667,3.240379
0.283333333333333,3.245
0.3,3.249
0.316666666666667,3.253
0.333333333333333,3.257
0.35,3.260711
0.366666666666667,3.264
0.383333333333333,3.267
0.4,3.271
0.416666666666667,3.274
0.433333333333333,3.277
0.45,3.28
0.466666666666667,3.283
0.483333333333333,3.286
0.5,3.289
0.516666666666667,3.291871
0.533333333333333,3.294
0.55,3.297
0.566666666666667,3.299
0.583333333333333,3.302
0.6,3.304
0.616666666666667,3.306
0.633333333333333,3.308025
0.65,3.311
0.666666666666667,3.313
0.683333333333333,3.315979
0.7,3.317958
0.716666666666667,3.31906
0.733333333333333,3.322
0.75,3.324
0.766666666666667,3.326
0.783333333333333,3.328
0.8,3.33
0.816666666666667,3.332
0.833333333333333,3.333815
0.85,3.335
0.866666666666667,3.337213
0.883333333333333,3.339
0.9,3.341
0.916666666666667,3.343
0.933333333333333,3.344281
0.95,3.346
0.966666666666667,3.347685
0.983333333333333,3.349337
1,3.351
1.01666666666667,3.353
1.03333333333333,3.355
1.05,3.356
1.06666666666667,3.357421
1.08333333333333,3.359
1.1,3.361
1.11666666666667,3.362
1.13333333333333,3.364
1.15,3.365
1.16666666666667,3.366
1.18333333333333,3.368
1.2,3.36945
1.21666666666667,3.371
1.23333333333333,3.372
1.25,3.373599
1.26666666666667,3.375
1.28333333333333,3.376
1.3,3.378
1.31666666666667,3.379
1.33333333333333,3.38
1.35,3.382
1.36666666666667,3.383
1.38333333333333,3.384
1.4,3.385
1.41666666666667,3.386237
1.43333333333333,3.388
1.45,3.389
1.46666666666667,3.39
1.48333333333333,3.391
1.5,3.392172
1.51666666666667,3.394
1.53333333333333,3.394144
1.55,3.396
1.56666666666667,3.397
1.58333333333333,3.398
1.6,3.399
1.61666666666667,3.4
1.63333333333333,3.401
1.65,3.402993
1.66666666666667,3.403
1.68333333333333,3.404
1.7,3.405
1.71666666666667,3.406942
1.73333333333333,3.407074
1.75,3.408
1.76666666666667,3.409
1.78333333333333,3.41
1.8,3.411
1.81666666666667,3.412
1.83333333333333,3.413
1.85,3.414
1.86666666666667,3.415
1.88333333333333,3.415775
1.9,3.417
1.91666666666667,3.418
1.93333333333333,3.418722
1.95,3.419
1.96666666666667,3.42
1.98333333333333,3.421
2,3.422
2.01666666666667,3.423
2.03333333333333,3.424
2.05,3.424
2.06666666666667,3.425
2.08333333333333,3.426
2.1,3.427
2.11666666666667,3.427535
2.13333333333333,3.428
2.15,3.429
2.16666666666667,3.43
2.18333333333333,3.431
2.2,3.431438
2.21666666666667,3.432
2.23333333333333,3.433
2.25,3.434
2.26666666666667,3.434
2.28333333333333,3.435
2.3,3.436
2.31666666666667,3.437
2.33333333333333,3.437
2.35,3.438
2.36666666666667,3.43827
2.38333333333333,3.439
2.4,3.44
2.41666666666667,3.441
2.43333333333333,3.441206
2.45,3.442
2.46666666666667,3.442
2.48333333333333,3.443
2.5,3.444
2.51666666666667,3.444
2.53333333333333,3.445
2.55,3.446
2.56666666666667,3.446
2.58333333333333,3.447
2.6,3.447026
2.61666666666667,3.448
2.63333333333333,3.448992
2.65,3.449973
2.66666666666667,3.45
2.68333333333333,3.45
2.7,3.451
2.71666666666667,3.45191
2.73333333333333,3.452
2.75,3.452881
2.76666666666667,3.45313
2.78333333333333,3.454
2.8,3.454158
2.81666666666667,3.455
2.83333333333333,3.455
2.85,3.456
2.86666666666667,3.456
2.88333333333333,3.457
2.9,3.457744
2.91666666666667,3.458
2.93333333333333,3.458706
2.95,3.459
2.96666666666667,3.459335
2.98333333333333,3.46
3,3.46
3.01666666666667,3.461
3.03333333333333,3.461
3.05,3.462
3.06666666666667,3.462429
3.08333333333333,3.463
3.1,3.463535
3.11666666666667,3.464
3.13333333333333,3.464
3.15,3.465
3.16666666666667,3.465446
3.18333333333333,3.466
3.2,3.466
3.21666666666667,3.467
3.23333333333333,3.467
3.25,3.468
3.26666666666667,3.468
3.28333333333333,3.468675
3.3,3.469
3.31666666666667,3.469
3.33333333333333,3.47
3.35,3.47
3.36666666666667,3.471
3.38333333333333,3.471
3.4,3.471791
3.41666666666667,3.472
3.43333333333333,3.473
3.45,3.473
3.46666666666667,3.473
3.48333333333333,3.474
3.5,3.474
3.51666666666667,3.474088
3.53333333333333,3.475
3.55,3.475
3.56666666666667,3.475963
3.58333333333333,3.476
3.6,3.476
3.61666666666667,3.477
3.63333333333333,3.477
3.65,3.477954
3.66666666666667,3.478
3.68333333333333,3.478
3.7,3.479
3.71666666666667,3.479
3.73333333333333,3.479855
3.75,3.48
3.76666666666667,3.48
3.78333333333333,3.48
3.8,3.481
3.81666666666667,3.481231
3.83333333333333,3.482
3.85,3.482
3.86666666666667,3.482
3.88333333333333,3.483
3.9,3.483
3.91666666666667,3.483328
3.93333333333333,3.484
3.95,3.484
3.96666666666667,3.485
3.98333333333333,3.485
4,3.485
4.01666666666667,3.485432
4.03333333333333,3.486
4.05,3.486
4.06666666666667,3.486
4.08333333333333,3.486503
4.1,3.487
4.11666666666667,3.487
4.13333333333333,3.488
4.15,3.488
4.16666666666667,3.488428
4.18333333333333,3.489
4.2,3.489
4.21666666666667,3.489
4.23333333333333,3.49
4.25,3.49
4.26666666666667,3.49
4.28333333333333,3.491
4.3,3.491
4.31666666666667,3.491
4.33333333333333,3.491
4.35,3.492
4.36666666666667,3.492
4.38333333333333,3.493
4.4,3.493
4.41666666666667,3.493
4.43333333333333,3.493158
4.45,3.494
4.46666666666667,3.494
4.48333333333333,3.494
4.5,3.494
4.51666666666667,3.494945
4.53333333333333,3.495
4.55,3.495
4.56666666666667,3.495006
4.58333333333333,3.496
4.6,3.496966
4.61666666666667,3.496947
4.63333333333333,3.496928
4.65,3.497
4.66666666666667,3.497
4.68333333333333,3.498
4.7,3.498
4.71666666666667,3.498
4.73333333333333,3.498
4.75,3.499
4.76666666666667,3.499
4.78333333333333,3.499
4.8,3.499756
4.81666666666667,3.499256
4.83333333333333,3.5
4.85,3.5
4.86666666666667,3.500695
4.88333333333333,3.501
4.9,3.501
4.91666666666667,3.501
4.93333333333333,3.501
4.95,3.501
4.96666666666667,3.501412
4.98333333333333,3.502
5,3.502549
5.01666666666667,3.503
5.03333333333333,3.503
5.05,3.503
5.06666666666667,3.503
5.08333333333333,3.50347
5.1,3.504
5.11666666666667,3.504
5.13333333333333,3.504
5.15,3.504
5.16666666666667,3.504369
5.18333333333333,3.505
5.2,3.50534
5.21666666666667,3.505
5.23333333333333,3.505315
5.25,3.506
5.26666666666667,3.506
5.28333333333333,3.506
5.3,3.506236
5.31666666666667,3.507
5.33333333333333,3.507
5.35,3.507
5.36666666666667,3.507
5.38333333333333,3.508
5.4,3.508
5.41666666666667,3.508
5.43333333333333,3.508
5.45,3.508
5.46666666666667,3.508935
5.48333333333333,3.508049
5.5,3.509
5.51666666666667,3.509
5.53333333333333,3.509
5.55,3.509015
5.56666666666667,3.51
5.58333333333333,3.51
5.6,3.51
5.61666666666667,3.51
5.63333333333333,3.511
5.65,3.510112
5.66666666666667,3.511
5.68333333333333,3.511
5.7,3.511153
5.71666666666667,3.512
5.73333333333333,3.512
5.75,3.512
5.76666666666667,3.512
5.78333333333333,3.512
5.8,3.512754
5.81666666666667,3.512
5.83333333333333,3.513
5.85,3.513
5.86666666666667,3.513
5.88333333333333,3.513326
5.9,3.513661
5.91666666666667,3.513647
5.93333333333333,3.514
5.95,3.514
5.96666666666667,3.514
5.98333333333333,3.514
6,3.514437
6.01666666666667,3.515
6.03333333333333,3.515
6.05,3.515
6.06666666666667,3.515
6.08333333333333,3.515
6.1,3.515461
6.11666666666667,3.516
6.13333333333333,3.516
6.15,3.516
6.16666666666667,3.5164
6.18333333333333,3.516
6.2,3.517
6.21666666666667,3.517
6.23333333333333,3.517
6.25,3.517
6.26666666666667,3.517295
6.28333333333333,3.518
6.3,3.518
6.31666666666667,3.518
6.33333333333333,3.518
6.35,3.518
6.36666666666667,3.518
6.38333333333333,3.518
6.4,3.518149
6.41666666666667,3.519
6.43333333333333,3.519
6.45,3.519
6.46666666666667,3.519
6.48333333333333,3.519
6.5,3.519
6.51666666666667,3.519031
6.53333333333333,3.519003
6.55,3.52
6.56666666666667,3.519035
6.58333333333333,3.52
6.6,3.52
6.61666666666667,3.520909
6.63333333333333,3.521
6.65,3.521
6.66666666666667,3.521
6.68333333333333,3.521
6.7,3.521
6.71666666666667,3.521
6.73333333333333,3.5218
6.75,3.521221
6.76666666666667,3.522
6.78333333333333,3.522
6.8,3.522
6.81666666666667,3.522
6.83333333333333,3.522
6.85,3.522
6.86666666666667,3.522
6.88333333333333,3.522353
6.9,3.522631
6.91666666666667,3.522613
6.93333333333333,3.523
6.95,3.523
6.96666666666667,3.523
6.98333333333333,3.523
7,3.523
7.01666666666667,3.524
7.03333333333333,3.524
7.05,3.524
7.06666666666667,3.524
7.08333333333333,3.524
7.1,3.524
7.11666666666667,3.524
7.13333333333333,3.524622
7.15,3.525
7.16666666666667,3.525
7.18333333333333,3.525
7.2,3.525
7.21666666666667,3.525
7.23333333333333,3.525
7.25,3.525224
7.26666666666667,3.525
7.28333333333333,3.525191
7.3,3.525173
7.31666666666667,3.526
7.33333333333333,3.526
7.35,3.526
7.36666666666667,3.526
7.38333333333333,3.526097
7.4,3.526
7.41666666666667,3.526057
7.43333333333333,3.527
7.45,3.526994
7.46666666666667,3.527
7.48333333333333,3.527
7.5,3.527
7.51666666666667,3.527
7.53333333333333,3.527
7.55,3.527886
7.56666666666667,3.527867
7.58333333333333,3.527156
7.6,3.527829
7.61666666666667,3.528
7.63333333333333,3.528
7.65,3.528
7.66666666666667,3.528
7.68333333333333,3.528
7.7,3.528
7.71666666666667,3.528
7.73333333333333,3.528331
7.75,3.529
7.76666666666667,3.529
7.78333333333333,3.529
7.8,3.529
7.81666666666667,3.529
7.83333333333333,3.529
7.85,3.529
7.86666666666667,3.529
7.88333333333333,3.529
7.9,3.53
7.91666666666667,3.53
7.93333333333333,3.53
7.95,3.53
7.96666666666667,3.53
7.98333333333333,3.53
8,3.53
8.01666666666667,3.53
8.03333333333333,3.53
8.05,3.530285
8.06666666666667,3.530736
8.08333333333333,3.530758
8.1,3.530777
8.11666666666667,3.531
8.13333333333333,3.531
8.15,3.531
8.16666666666667,3.531
8.18333333333333,3.531
8.2,3.53189
8.21666666666667,3.531
8.23333333333333,3.532
8.25,3.531053
8.26666666666667,3.532
8.28333333333333,3.532
8.3,3.532
8.31666666666667,3.532
8.33333333333333,3.532
8.35,3.532
8.36666666666667,3.532
8.38333333333333,3.532
8.4,3.532
8.41666666666667,3.532
8.43333333333333,3.532
8.45,3.53219
8.46666666666667,3.532797
8.48333333333333,3.533
8.5,3.533
8.51666666666667,3.533
8.53333333333333,3.533
8.55,3.533
8.56666666666667,3.533
8.58333333333333,3.532655
8.6,3.533
8.61666666666667,3.533
8.63333333333333,3.533
8.65,3.533
8.66666666666667,3.533
8.68333333333333,3.533
8.7,3.533
8.71666666666667,3.533498
8.73333333333333,3.533526
8.75,3.533
8.76666666666667,3.533
8.78333333333333,3.533
8.8,3.533
8.81666666666667,3.533
8.83333333333333,3.533641
8.85,3.53366
8.86666666666667,3.534
8.88333333333333,3.534
8.9,3.533285
8.91666666666667,3.534
8.93333333333333,3.533244
8.95,3.534
8.96666666666667,3.533195
8.98333333333333,3.534
9,3.53384
9.01666666666667,3.533863
9.03333333333333,3.534
9.05,3.534
9.06666666666667,3.534
9.08333333333333,3.534
9.1,3.534
9.11666666666667,3.534
9.13333333333333,3.534
9.15,3.534
9.16666666666667,3.534036
9.18333333333333,3.534052
9.2,3.534924
9.21666666666667,3.534
9.23333333333333,3.534113
9.25,3.534869
9.26666666666667,3.534148
9.28333333333333,3.534831
9.3,3.534813
9.31666666666667,3.534796
9.33333333333333,3.534776
9.35,3.535
9.36666666666667,3.535
9.38333333333333,3.534288
9.4,3.535
