Timestamp [h],BATT_003_OCV_V_100-SOC
0,4.114
0.0166666666666667,4.103
0.0333333333333333,4.101989
0.05,4.100022
0.0666666666666667,4.099033
0.0833333333333333,4.099
0.1,4.098057
0.116666666666667,4.098
0.133333333333333,4.098
0.15,4.097
0.166666666666667,4.097
0.183333333333333,4.097
0.2,4.096
0.216666666666667,4.096
0.233333333333333,4.096
0.25,4.096
0.266666666666667,4.096
0.283333333333333,4.095
0.3,4.095241
0.316666666666667,4.095
0.333333333333333,4.095
0.35,4.095
0.366666666666667,4.095
0.383333333333333,4.095
0.4,4.095
0.416666666666667,4.095
0.433333333333333,4.094367
0.45,4.094623
0.466666666666667,4.094398
0.483333333333333,4.094
0.5,4.094
0.516666666666667,4.094
0.533333333333333,4.094
0.55,4.094
0.566666666666667,4.094
0.583333333333333,4.094
0.6,4.094
0.616666666666667,4.094
0.633333333333333,4.093457
0.65,4.094
0.666666666666667,4.094
0.683333333333333,4.093422
0.7,4.093592
0.716666666666667,4.09339
0.733333333333333,4.093
0.75,4.093
0.766666666666667,4.093
0.783333333333333,4.093
0.8,4.093
0.816666666666667,4.093
0.833333333333333,4.093
0.85,4.093
0.866666666666667,4.093
0.883333333333333,4.093
0.9,4.093
0.916666666666667,4.093
0.933333333333333,4.093
0.95,4.093
0.966666666666667,4.093
0.983333333333333,4.093
1,4.093
1.01666666666667,4.0921
1.03333333333333,4.092919
1.05,4.092064
1.06666666666667,4.092053
1.08333333333333,4.092962
1.1,4.092976
1.11666666666667,4.093
1.13333333333333,4.092001
1.15,4.093
1.16666666666667,4.092
1.18333333333333,4.092
1.2,4.092
1.21666666666667,4.092911
1.23333333333333,4.092
1.25,4.09212
1.26666666666667,4.092
1.28333333333333,4.092
1.3,4.092
1.31666666666667,4.092
1.33333333333333,4.092
1.35,4.092
1.36666666666667,4.092
1.38333333333333,4.092
1.4,4.092
1.41666666666667,4.092
1.43333333333333,4.092
1.45,4.092
1.46666666666667,4.092
1.48333333333333,4.092
1.5,4.092
1.51666666666667,4.092
1.53333333333333,4.091408
1.55,4.092
1.56666666666667,4.092
1.58333333333333,4.092
1.6,4.092
1.61666666666667,4.092
1.63333333333333,4.092
1.65,4.092
1.66666666666667,4.092
1.68333333333333,4.092
1.7,4.092
1.71666666666667,4.092
1.73333333333333,4.092
1.75,4.091373
1.76666666666667,4.091352
1.78333333333333,4.092
1.8,4.092
1.81666666666667,4.091704
1.83333333333333,4.092
1.85,4.091262
1.86666666666667,4.091246
1.88333333333333,4.091
1.9,4.091789
1.91666666666667,4.091
1.93333333333333,4.09118
1.95,4.091163
1.96666666666667,4.092
1.98333333333333,4.091127
2,4.092
2.01666666666667,4.092
2.03333333333333,4.091
2.05,4.091
2.06666666666667,4.091956
2.08333333333333,4.091967
2.1,4.091982
2.11666666666667,4.091997
2.13333333333333,4.091016
2.15,4.091
2.16666666666667,4.091
2.18333333333333,4.091
2.2,4.091
2.21666666666667,4.091
2.23333333333333,4.091
2.25,4.091
2.26666666666667,4.091
2.28333333333333,4.091
2.3,4.091
2.31666666666667,4.091
2.33333333333333,4.091
2.35,4.091
2.36666666666667,4.091
2.38333333333333,4.091
2.4,4.091
2.41666666666667,4.091
2.43333333333333,4.091
2.45,4.091
2.46666666666667,4.091
