Timestamp_1 [h],BATT_007_DC1 [V],Timestamp_2 [h],BATT_007_DC2 [V],Timestamp_3 [h],BATT_007_DC3 [V]
0,3.339,0,3.3653,0,3.4
0.000275802222222222,3.339,0.000203871666666667,3.3653,0.000203871666666667,3.4
0.0005533675,3.339,0.000481567777777778,3.3653,0.000481567777777778,3.4
0.000831521388888889,3.339,0.000759409444444445,3.3653,0.000759409444444445,3.4
0.00110960777777778,3.237,0.00103736861111111,3.3653,0.00103736861111111,3.4
0.00138749277777778,3.227,0.0013152575,3.3653,0.0013152575,3.4
0.00166535194444444,3.217,0.00159318055555556,3.3653,0.00159318055555556,3.4
0.00194337972222222,3.217,0.00187097277777778,3.3653,0.00187097277777778,3.4
0.00222094694444444,3.207,0.00214898722222222,3.3653,0.00214898722222222,3.4
0.00249888277777778,3.207,0.00242636305555556,3.3653,0.00242636305555556,3.4
0.00277659,3.197,0.00270439916666667,3.3653,0.00270439916666667,3.38
0.00305436277777778,3.197,0.00298234083333333,3.3653,0.00298234083333333,3.38
0.00333212194444444,3.197,0.00326022166666667,3.3653,0.00326022166666667,3.37
0.00361006833333333,3.197,0.00353826166666667,3.3653,0.00353826166666667,3.38
0.00388757194444444,3.186,0.0038162075,3.3653,0.0038162075,3.37
0.00416519166666667,3.186,0.00409399361111111,3.3653,0.00409399361111111,3.37
0.00444323416666667,3.186,0.00437230861111111,3.3653,0.00437230861111111,3.37
0.00472101527777778,3.186,0.00465022305555556,3.3653,0.00465022305555556,3.37
0.00499893,3.186,0.0049281975,3.3653,0.0049281975,3.36
0.00527724611111111,3.186,0.0052058775,3.3653,0.0052058775,3.37
0.00555534888888889,3.186,0.00548351611111111,3.3653,0.00548351611111111,3.36
0.00583279416666667,3.176,0.00576108722222222,3.3653,0.00576108722222222,3.36
0.00611054861111111,3.186,0.00603898444444444,3.3653,0.00603898444444444,3.36
0.00638880138888889,3.176,0.0063170125,3.3653,0.0063170125,3.349
0.00666676722222222,3.176,0.00659469611111111,3.3653,0.00659469611111111,3.36
0.00694464138888889,3.176,0.00687271638888889,3.3653,0.00687271638888889,3.349
0.00722234083333333,3.176,0.00715065555555556,3.3653,0.00715065555555556,3.349
0.00750017444444444,3.176,0.00742846055555556,3.3653,0.00742846055555556,3.349
0.00777840527777778,3.176,0.00770635333333333,3.3653,0.00770635333333333,3.349
0.00805623944444444,3.176,0.00798432805555556,3.3653,0.00798432805555556,3.349
0.00833384138888889,3.176,0.00826172805555556,3.3653,0.00826172805555556,3.339
0.00861145666666667,3.176,0.00853989166666667,3.3653,0.00853989166666667,3.339
0.00888948111111111,3.176,0.00881761861111111,3.3653,0.00881761861111111,3.339
0.00916688305555556,3.176,0.00909524333333333,3.3653,0.00909524333333333,3.339
0.0094452125,3.176,0.00937339777777778,3.3653,0.00937339777777778,3.339
0.00972313166666667,3.176,0.00965121333333333,3.3653,0.00965121333333333,3.339
0.0100009786111111,3.176,0.00992887611111111,3.3653,0.00992887611111111,3.339
0.0102788736111111,3.176,0.0102067919444444,3.3653,0.0102067919444444,3.339
0.0105563630555556,3.176,0.0104848052777778,3.3653,0.0104848052777778,3.339
0.0108345802777778,3.176,0.0107625911111111,3.3653,0.0107625911111111,3.329
0.0111124416666667,3.176,0.0110403013888889,3.3653,0.0110403013888889,3.339
0.0113901105555556,3.166,0.0113178233333333,3.3653,0.0113178233333333,3.329
0.0116678919444444,3.176,0.0115958766666667,3.3653,0.0115958766666667,3.329
0.0119458330555556,3.176,0.0118737577777778,3.3653,0.0118737577777778,3.339
0.0122235183333333,3.176,0.0121516358333333,3.3653,0.0121516358333333,3.329
0.0125014216666667,3.166,0.0124291822222222,3.3653,0.0124291822222222,3.329
0.0127789833333333,3.166,0.0127070063888889,3.3653,0.0127070063888889,3.329
0.0130568652777778,3.166,0.0129847641666667,3.3653,0.0129847641666667,3.329
0.0133349205555556,3.176,0.0132628961111111,3.3653,0.0132628961111111,3.329
0.0136127383333333,3.176,0.0135404002777778,3.3653,0.0135404002777778,3.329
0.0138904575,3.166,0.0138180863888889,3.3653,0.0138180863888889,3.329
0.0141688522222222,3.176,0.0140957844444444,3.3653,0.0140957844444444,3.329
0.0144464602777778,3.166,0.0143738286111111,3.3653,0.0143738286111111,3.329
0.0147243708333333,3.176,0.0146514666666667,3.3653,0.0146514666666667,3.329
0.0150021702777778,3.166,0.0149298538888889,3.3653,0.0149298538888889,3.329
0.0152799005555556,3.166,0.0152077652777778,3.3653,0.0152077652777778,3.319
0.0155578738888889,3.166,0.0154856680555556,3.3653,0.0154856680555556,3.329
0.0158360252777778,3.166,0.0157631113888889,3.3653,0.0157631113888889,3.319
0.0161139719444444,3.166,0.0160412236111111,3.3653,0.0160412236111111,3.319
