Timestamp_1 [h],BATT_001_DC1 [V],Timestamp_2 [h],BATT_001_DC2 [V],Timestamp_3 [h],BATT_001_DC3 [V]
0,3.39,0,3.38,0,3.329
0.000237774166666667,3.39,0.000276418055555556,3.38,0.000235970277777778,3.329
0.000515566111111111,3.39,0.000554591111111111,3.38,0.000514164166666667,3.329
0.000793513333333333,3.39,0.000832273055555556,3.38,0.000791646111111111,3.329
0.00107160027777778,3.39,0.0011100325,3.38,0.00106968305555556,3.329
0.0013493675,3.39,0.00138798638888889,3.38,0.00134745166666667,3.329
0.00162740055555556,3.39,0.00166576194444444,3.38,0.00162531055555556,3.319
0.00190527,3.39,0.00194354222222222,3.37,0.00190272583333333,3.329
0.00218341138888889,3.39,0.0022212725,3.37,0.00218071916666667,3.329
0.00246110611111111,3.39,0.00249921638888889,3.37,0.00245820833333333,3.319
0.00273914027777778,3.39,0.002777135,3.37,0.00273626222222222,3.329
0.00301699694444444,3.39,0.0030549475,3.37,0.00301449,3.319
0.00329446166666667,3.39,0.00333254694444444,3.37,0.00329236944444444,3.329
0.00357227555555556,3.39,0.00361046388888889,3.37,0.003570155,3.319
0.00385042472222222,3.39,0.00388805388888889,3.37,0.00384811305555556,3.319
0.0041283325,3.39,0.00416603638888889,3.36,0.00412624166666667,3.319
0.00440627944444444,3.38,0.00444403277777778,3.36,0.0044042325,3.319
0.00468414777777778,3.39,0.00472202277777778,3.36,0.00468199277777778,3.319
0.00496205916666667,3.39,0.00499995416666667,3.36,0.00495984416666667,3.319
0.00523965722222222,3.39,0.00527777527777778,3.36,0.00523794666666667,3.329
0.00551766111111111,3.39,0.00555557277777778,3.36,0.00551599194444444,3.319
0.00579546416666667,3.39,0.00583335916666667,3.36,0.00579387277777778,3.319
0.00607319722222222,3.39,0.00611111444444444,3.36,0.00607148722222222,3.329
0.00635098833333333,3.39,0.00638894972222222,3.36,0.00634938638888889,3.319
0.00662869777777778,3.39,0.00666699861111111,3.349,0.00662725166666667,3.319
0.00690643444444445,3.39,0.00694473805555556,3.36,0.00690484222222222,3.319
0.00718422138888889,3.39,0.00722292416666667,3.36,0.0071827,3.319
0.00746197388888889,3.39,0.00750074333333333,3.36,0.00746046166666667,3.319
0.0077395825,3.39,0.00777884694444444,3.36,0.00773885583333333,3.319
0.00801774194444444,3.39,0.00805643388888889,3.349,0.00801662472222222,3.319
0.00829558722222222,3.39,0.00833425361111111,3.349,0.008294505,3.319
0.00857340833333333,3.38,0.00861265277777778,3.349,0.00857236166666667,3.329
0.00885146083333333,3.38,0.00889022472222222,3.349,0.00885002472222222,3.329
0.00912960833333333,3.39,0.00916828305555556,3.36,0.00912787555555556,3.319
0.00940720694444445,3.39,0.00944607,3.349,0.00940543722222222,3.319
0.00968485083333333,3.39,0.00972365722222222,3.349,0.00968360888888889,3.319
0.00996303444444444,3.39,0.0100014180555556,3.349,0.00996138083333333,3.319
0.0102409941666667,3.39,0.0102797047222222,3.349,0.0102390666666667,3.319
0.0105187077777778,3.38,0.0105572869444444,3.349,0.0105168194444444,3.319
0.0107964916666667,3.39,0.0108358544444444,3.349,0.0107945847222222,3.319
0.0110743938888889,3.38,0.0111130680555556,3.349,0.0110724427777778,3.319
0.0113522286111111,3.38,0.0113911519444444,3.349,0.0113502822222222,3.319
0.0116301916666667,3.38,0.0116690477777778,3.349,0.0116283638888889,3.319
0.0119081944444444,3.39,0.011947055,3.349,0.0119063144444444,3.319
0.0121858463888889,3.39,0.0122250297222222,3.349,0.0121839244444444,3.319
0.0124639980555556,3.39,0.0125030002777778,3.349,0.0124618358333333,3.319
0.01274171,3.39,0.0127808486111111,3.349,0.0127398536111111,3.319
0.0130193208333333,3.39,0.0130584661111111,3.349,0.0130175927777778,3.319
0.0132975775,3.39,0.0133362211111111,3.349,0.0132953427777778,3.319
0.01357507,3.39,0.0136142933333333,3.339,0.0135733669444444,3.319
0.0138532794444444,3.39,0.0138920488888889,3.349,0.0138513063888889,3.319
0.0141308661111111,3.39,0.0141696930555556,3.339,0.0141291944444444,3.319
0.0144089469444444,3.298,0.0144473080555556,3.349,0.0144069791666667,3.319
0.0146870919444444,3.339,0.0147252558333333,3.339,0.0146848252777778,3.319
0.0149648586111111,3.339,0.0150028433333333,3.339,0.01496249,3.319
0.0152425675,3.339,0.0152809811111111,3.339,0.0152402419444444,3.319
0.0155205541666667,3.329,0.0155587308333333,3.339,0.0155182927777778,3.319
0.0157986877777778,3.329,0.0158368458333333,3.339,0.0157958391666667,3.319
0.016076125,3.319,0.0161144994444444,3.339,0.0160739461111111,3.319
0.0163543380555556,3.319,0.016392405,3.339,0.0163517102777778,3.319
0.0166322083333333,3.319,0.0166703080555556,3.339,0.0166297258333333,3.319
0.0169100694444444,3.319,0.0169481541666667,3.339,0.0169075263888889,3.319
0.0171878213888889,3.309,0.0172259411111111,3.339,0.017185085,3.319
0.0174656947222222,3.309,0.0175037855555556,3.339,0.0174631377777778,3.319
0.0177433727777778,3.309,0.0177813733333333,3.339,0.0177412627777778,3.319
