Timestamp_1 [h],BATT_001_CC1 [V],Timestamp_2 [h],BATT_001_CC2 [V],Timestamp_3 [h],BATT_001_CC3 [V]
0,2.341,0,2.707,0,2.3
0.000276418055555556,2.432,0.000276335833333333,2.707,0.000235970277777778,2.402
0.000554591111111111,2.504,0.000554209444444445,2.707,0.000514164166666667,2.473
0.000832273055555556,2.544,0.000832090277777778,2.707,0.000791646111111111,2.524
0.0011100325,2.585,0.00110972583333333,2.769,0.00106968305555556,2.565
0.00138798638888889,2.616,0.00138801694444444,2.799,0.00134745166666667,2.595
0.00166576194444444,2.636,0.0016657825,2.809,0.00162531055555556,2.626
0.00194354222222222,2.667,0.00194387611111111,2.82,0.00190272583333333,2.646
0.0022212725,2.677,0.00222177944444444,2.83,0.00218071916666667,2.677
0.00249921638888889,2.697,0.00249964166666667,2.84,0.00245820833333333,2.687
0.002777135,2.718,0.00277777305555556,2.85,0.00273626222222222,2.707
0.0030549475,2.738,0.00305558944444444,2.86,0.00301449,2.728
0.00333254694444444,2.748,0.00333354611111111,2.87,0.00329236944444444,2.738
0.00361046388888889,2.758,0.00361170861111111,2.881,0.003570155,2.758
0.00388805388888889,2.779,0.00388945194444444,2.881,0.00384811305555556,2.758
0.00416603638888889,2.779,0.00416767861111111,2.891,0.00412624166666667,2.779
0.00444403277777778,2.799,0.00444577277777778,2.891,0.0044042325,2.789
0.00472202277777778,2.809,0.00472333916666667,2.901,0.00468199277777778,2.799
0.00499995416666667,2.82,0.00500111916666667,2.911,0.00495984416666667,2.809
0.00527777527777778,2.83,0.00527962277777778,2.911,0.00523794666666667,2.82
0.00555557277777778,2.84,0.00555723,2.921,0.00551599194444444,2.83
0.00583335916666667,2.84,0.00583516888888889,2.932,0.00579387277777778,2.84
0.00611111444444444,2.85,0.00611277861111111,2.932,0.00607148722222222,2.84
0.00638894972222222,2.86,0.00639062222222222,2.932,0.00634938638888889,2.85
0.00666699861111111,2.86,0.00666827555555556,2.942,0.00662725166666667,2.86
0.00694473805555556,2.87,0.00694616861111111,2.942,0.00690484222222222,2.86
0.00722292416666667,2.881,0.00722425583333333,2.952,0.0071827,2.87
0.00750074333333333,2.891,0.00750248944444444,2.962,0.00746046166666667,2.881
0.00777884694444444,2.891,0.00778019055555556,2.962,0.00773885583333333,2.891
0.00805643388888889,2.901,0.00805826722222222,2.972,0.00801662472222222,2.891
0.00833425361111111,2.911,0.00833579777777778,2.972,0.008294505,2.901
0.00861265277777778,2.911,0.00861394555555556,2.972,0.00857236166666667,2.911
0.00889022472222222,2.921,0.00889188333333333,2.983,0.00885002472222222,2.911
0.00916828305555556,2.921,0.00916971305555556,2.993,0.00912787555555556,2.921
0.00944607,2.932,0.00944778777777778,2.993,0.00940543722222222,2.921
0.00972365722222222,2.932,0.00972531138888889,2.993,0.00968360888888889,2.932
0.0100014180555556,2.932,0.0100035388888889,3.003,0.00996138083333333,2.932
0.0102797047222222,2.942,0.0102815933333333,3.003,0.0102390666666667,2.932
0.0105572869444444,2.952,0.0105596825,3.003,0.0105168194444444,2.942
0.0108358544444444,2.952,0.0108376841666667,3.013,0.0107945847222222,2.942
0.0111130680555556,2.962,0.0111152527777778,3.013,0.0110724427777778,2.952
0.0113911519444444,2.962,0.0113933075,3.013,0.0113502822222222,2.952
0.0116690477777778,2.962,0.0116708555555556,3.013,0.0116283638888889,2.962
0.011947055,2.972,0.0119486602777778,3.023,0.0119063144444444,2.962
0.0122250297222222,2.972,0.0122266216666667,3.023,0.0121839244444444,2.972
0.0125030002777778,2.972,0.0125044225,3.033,0.0124618358333333,2.972
0.0127808486111111,2.983,0.0127825172222222,3.033,0.0127398536111111,2.972
0.0130584661111111,2.993,0.0130603058333333,3.033,0.0130175927777778,2.983
0.0133362211111111,2.993,0.0133382555555556,3.044,0.0132953427777778,2.983
0.0136142933333333,2.993,0.0136159305555556,3.044,0.0135733669444444,2.993
0.0138920488888889,3.003,0.0138936866666667,3.044,0.0138513063888889,2.993
0.0141696930555556,3.003,0.0141711752777778,3.054,0.0141291944444444,3.003
0.0144473080555556,3.013,0.0144491677777778,3.054,0.0144069791666667,3.003
0.0147252558333333,3.013,0.0147266516666667,3.054,0.0146848252777778,3.003
